round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.0,setup_phase,setup_phase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.03,setup_phase,setup_phase,,,ID:door_1|,0
0,close_finished_door_1,0.14,setup_phase,setup_phase,,,ID:door_1|,0
0,close_start_door_2,0.16,setup_phase,setup_phase,,,ID:door_2|,0
0,lever_retracted_food,0.59,setup_phase,setup_phase,,,ID:food|,0
0,lever_retracted_lever_2,0.59,setup_phase,setup_phase,,,ID:lever_2|,0
0,lever_retracted_lever_1,0.63,setup_phase,setup_phase,,,ID:lever_1|,0
