round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.0,setup_phase,setup_phase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.01,setup_phase,setup_phase,,,ID:door_1|,0
0,close_finished_door_1,0.02,setup_phase,setup_phase,,,ID:door_1|,0
0,close_start_door_2,0.05,setup_phase,setup_phase,,,ID:door_2|,0
0,close_finished_door_2,0.05,setup_phase,setup_phase,,,ID:door_2|,0
1,new_round,0.07,setup_phase,setup_phase,,,ID:round_LED|,1
1,output_activated,0.07,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_start_round_start,0.11,lever_2_out,lever_2_out,,,ID:speaker|,1
0,lever_retracted_lever_1,0.71,setup_phase,lever_2_out,,,ID:lever_1|,0
1,output_deactivated,0.73,lever_2_out,lever_2_out,,,ID:round_LED|,1
0,lever_retracted_lever_2,0.73,setup_phase,lever_2_out,,,ID:lever_2|,0
0,lever_retracted_food,0.74,setup_phase,lever_2_out,,,ID:food|,0
1,tone_stop_round_start,1.13,lever_2_out,lever_2_out,,,ID:speaker|,1
1,lever_extended_lever_2,1.15,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,,14.14,lever_2_out,lever_2_out,14.06,,n_presses:1|,1
1,presses_reached_lever_2,14.14,lever_2_out,lever_2_out,14.06,,n_presses:1|,1
1,lever_press,14.14,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,output_activated,14.14,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,tone_start_door_1_open,14.15,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,14.51,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,lever_retracted_lever_2,14.65,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,tone_stop_door_1_open,15.16,lever_2_out,lever_2_out,,,ID:speaker|,1
1,open_start_door_1,18.2,reward_phase,reward_phase,,,ID:door_1|,1
1,open_finished_door_1,19.81,reward_phase,reward_phase,,,ID:door_1|,1
1,door_1_open_|_beam_broken_door1_ir,24.57,reward_phase,reward_phase,6.37,,beam_ID:door1_ir|,1
1,beam_broken_door1_ir,24.57,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,26.26,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,37.29,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,38.51,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,45.35,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,46.7,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,47.63,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,47.85,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,51.11,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,51.32,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,51.62,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,51.63,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,58.68,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,59.12,reward_phase,reward_phase,,,ID:door1_ir|,1
1,close_start_door_1,78.28,reward_phase,reward_phase,,,ID:door_1|,1
1,close_finished_door_1,80.11,reward_phase,reward_phase,,,ID:door_1|,1
2,new_round,141.74,lever_2_out,lever_2_out,,,ID:round_LED|,2
2,output_activated,141.75,lever_2_out,lever_2_out,,,ID:round_LED|,2
2,tone_start_round_start,141.77,lever_2_out,lever_2_out,,,ID:speaker|,2
2,output_deactivated,142.25,lever_2_out,lever_2_out,,,ID:round_LED|,2
2,lever_extended_lever_2,142.5,lever_2_out,lever_2_out,,,ID:lever_2|,2
2,tone_stop_round_start,142.77,lever_2_out,lever_2_out,,,ID:speaker|,2
2,,145.61,lever_2_out,lever_2_out,3.87,,n_presses:1|,2
2,presses_reached_lever_2,145.61,lever_2_out,lever_2_out,3.87,,n_presses:1|,2
2,lever_press,145.61,lever_2_out,lever_2_out,,,ID:event_LED|,2
2,output_activated,145.62,lever_2_out,lever_2_out,,,ID:event_LED|,2
2,tone_start_door_1_open,145.66,lever_2_out,lever_2_out,,,ID:speaker|,2
2,output_deactivated,145.97,lever_2_out,lever_2_out,,,ID:event_LED|,2
2,lever_retracted_lever_2,146.51,lever_2_out,lever_2_out,,,ID:lever_2|,2
2,tone_stop_door_1_open,146.67,lever_2_out,lever_2_out,,,ID:speaker|,2
2,open_start_door_1,149.64,reward_phase,reward_phase,,,ID:door_1|,2
2,open_finished_door_1,151.27,reward_phase,reward_phase,,,ID:door_1|,2
2,door_1_open_|_beam_broken_door1_ir,152.23,reward_phase,reward_phase,2.59,,beam_ID:door1_ir|,2
2,beam_broken_door1_ir,152.23,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,152.65,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_broken_door1_ir,156.13,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,157.71,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_broken_door1_ir,158.81,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,159.11,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_broken_door1_ir,171.23,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,171.84,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_broken_door1_ir,172.56,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,172.81,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_broken_door1_ir,188.24,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,188.97,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_broken_door1_ir,189.83,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,190.08,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_broken_door1_ir,200.34,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,201.29,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_broken_door1_ir,201.99,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,202.19,reward_phase,reward_phase,,,ID:door1_ir|,2
2,close_start_door_1,209.73,reward_phase,reward_phase,,,ID:door_1|,2
2,close_finished_door_1,211.58,reward_phase,reward_phase,,,ID:door_1|,2
3,new_round,268.35,lever_2_out,lever_2_out,,,ID:round_LED|,3
3,output_activated,268.35,lever_2_out,lever_2_out,,,ID:round_LED|,3
3,tone_start_round_start,268.37,lever_2_out,lever_2_out,,,ID:speaker|,3
