FR|1,day|1,delay|0,experiment|door_train,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5113,vole_2|5048
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.004,setup_phase,setup_phase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.035,setup_phase,setup_phase,,,ID:door_1|,0
0,close_finished_door_1,0.425,setup_phase,setup_phase,,,ID:door_1|,0
0,close_start_door_2,0.449,setup_phase,setup_phase,,,ID:door_2|,0
0,close_finished_door_2,0.451,setup_phase,setup_phase,,,ID:door_2|,0
0,lever_retracted_lever_1,0.709,setup_phase,setup_phase,,,ID:lever_1|,0
0,lever_retracted_lever_2,0.723,setup_phase,setup_phase,,,ID:lever_2|,0
0,lever_retracted_food,0.731,setup_phase,setup_phase,,,ID:food|,0
1,new_round,0.978,setup_phase,setup_phase,,,ID:round_LED|,1
1,output_activated,0.98,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_start_round_start,1.031,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,1.482,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_stop_round_start,2.036,lever_2_out,lever_2_out,,,ID:speaker|,1
1,lever_extended_lever_2,2.869,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,tone_start_door_1_open,61.01,lever_2_out,lever_2_out,,,ID:speaker|,1
1,lever_retracted_lever_2,61.426,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,open_start_door_1,61.99,reward_phase,reward_phase,,,ID:door_1|,1
1,tone_stop_door_1_open,62.014,reward_phase,reward_phase,,,ID:speaker|,1
1,open_finished_door_1,63.594,reward_phase,reward_phase,,,ID:door_1|,1
1,door_1_open_|_beam_broken_door1_ir,73.83,reward_phase,reward_phase,11.842,,beam_ID:door1_ir|,1
1,beam_broken_door1_ir,73.83,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,81.951,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,84.952,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,84.987,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,85.028,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,85.319,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,86.959,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,87.697,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,98.584,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,100.388,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,102.579,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,104.005,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,119.484,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,120.984,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,121.562,reward_phase,reward_phase,,,ID:door1_ir|,1
1,close_start_door_1,122.04,reward_phase,reward_phase,,,ID:door_1|,1
1,beam_unbroken_door1_ir,122.792,reward_phase,reward_phase,,,ID:door1_ir|,1
1,close_finished_door_1,123.865,reward_phase,reward_phase,,,ID:door_1|,1
1,output_activated,123.873,reward_phase,reward_phase,,,ID:round_LED|,1
1,output_deactivated,142.01,reward_phase,reward_phase,,,ID:round_LED|,1
2,new_round,187.012,lever_2_out,lever_2_out,,,ID:round_LED|,2
2,output_activated,187.014,lever_2_out,lever_2_out,,,ID:round_LED|,2
