FR|1,day|1,delay|0,experiment|door_train,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|4678,vole_2|5050
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.004,setup_phase,setup_phase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.035,setup_phase,setup_phase,,,ID:door_1|,0
0,close_finished_door_1,0.116,setup_phase,setup_phase,,,ID:door_1|,0
0,close_start_door_2,0.16,setup_phase,setup_phase,,,ID:door_2|,0
0,close_finished_door_2,0.409,setup_phase,setup_phase,,,ID:door_2|,0
0,lever_retracted_food,0.839,setup_phase,setup_phase,,,ID:food|,0
0,lever_retracted_lever_1,0.858,setup_phase,setup_phase,,,ID:lever_1|,0
1,new_round,0.917,setup_phase,setup_phase,,,ID:round_LED|,1
1,output_activated,0.92,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_start_round_start,0.946,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,1.422,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.951,lever_2_out,lever_2_out,,,ID:speaker|,1
1,lever_extended_lever_2,2.818,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,lever_pressed_lever_2,5.246,lever_2_out,lever_2_out,,,ID:lever_2|total_presses:1|,1
1,lever_extended_lever_2_|_lever_pressed_lever_2,5.247,lever_2_out,lever_2_out,2.817,,n_presses:1|,1
1,presses_reached_lever_2,5.247,lever_2_out,lever_2_out,2.817,,n_presses:1|,1
1,lever_press,5.247,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,output_activated,5.249,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,tone_start_door_1_open,5.284,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,5.601,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,open_start_door_1,6.257,reward_phase,reward_phase,,,ID:door_1|,1
1,tone_stop_door_1_open,6.289,reward_phase,reward_phase,,,ID:speaker|,1
1,open_finished_door_1,7.863,reward_phase,reward_phase,,,ID:door_1|,1
1,door_1_open_|_beam_broken_door1_ir,15.274,reward_phase,reward_phase,9.02,,beam_ID:door1_ir|,1
1,beam_broken_door1_ir,15.275,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,18.104,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,18.119,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,18.165,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,18.233,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,18.261,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,20.211,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,20.311,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,20.363,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,20.619,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,20.998,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,21.627,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,22.004,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,22.047,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,22.355,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,22.48,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,23.417,reward_phase,reward_phase,,,ID:door1_ir|,1
