FR|1,day|1,delay|0,experiment|door_train_contingent,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|4678,vole_2|5047
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.004,setup_phase,setup_phase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.027,setup_phase,setup_phase,,,ID:door_1|,0
0,close_finished_door_1,0.183,setup_phase,setup_phase,,,ID:door_1|,0
0,close_start_door_2,0.191,setup_phase,setup_phase,,,ID:door_2|,0
0,close_finished_door_2,0.416,setup_phase,setup_phase,,,ID:door_2|,0
0,lever_retracted_lever_1,0.863,setup_phase,setup_phase,,,ID:lever_1|,0
0,lever_retracted_food,0.893,setup_phase,setup_phase,,,ID:food|,0
0,lever_retracted_lever_2,0.907,setup_phase,setup_phase,,,ID:lever_2|,0
1,new_round,0.942,setup_phase,setup_phase,,,ID:round_LED|,1
1,output_activated,0.945,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_start_round_start,0.99,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,1.447,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.994,lever_2_out,lever_2_out,,,ID:speaker|,1
1,lever_extended_lever_2,2.851,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,lever_pressed_lever_2,47.988,lever_2_out,lever_2_out,,,ID:lever_2|total_presses:1|,1
1,lever_extended_lever_2_|_lever_pressed_lever_2,47.988,lever_2_out,lever_2_out,45.534,,n_presses:1|,1
1,presses_reached_lever_2,47.989,lever_2_out,lever_2_out,45.535,,n_presses:1|,1
1,lever_press,47.99,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,output_activated,47.993,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,tone_start_door_1_open,48.006,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,48.345,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,open_start_door_1,49.002,reward_phase,reward_phase,,,ID:door_1|,1
1,tone_stop_door_1_open,49.012,reward_phase,reward_phase,,,ID:speaker|,1
1,lever_retracted_lever_2,49.649,lever_2_out,reward_phase,,,ID:lever_2|,1
1,open_finished_door_1,50.607,reward_phase,reward_phase,,,ID:door_1|,1
1,door_1_open_|_beam_broken_door1_ir,54.785,reward_phase,reward_phase,5.785,,beam_ID:door1_ir|,1
1,beam_broken_door1_ir,54.785,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,55.483,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,79.548,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,80.766,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,96.382,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,96.979,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,99.779,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,100.05,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,101.587,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,101.677,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,102.121,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,102.941,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,108.62,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,108.731,reward_phase,reward_phase,,,ID:door1_ir|,1
1,close_start_door_1,109.01,reward_phase,reward_phase,,,ID:door_1|,1
