FR|1,day|2,experiment|autotrain,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|4678,vole_2|0
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.002,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
1,new_round,0.004,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.006,lever_out,lever_out,,,ID:round_LED|,1
1,tone_start_round_start,0.012,lever_out,lever_out,,,ID:speaker|,1
1,output_deactivated,0.508,lever_out,lever_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.017,lever_out,lever_out,,,ID:speaker|,1
1,lever_extended_food,1.916,lever_out,lever_out,,,ID:food|,1
1,tone_start_pellet_tone,60.05,ITI,ITI,,,ID:speaker|,1
1,lever_retracted_food,60.498,lever_out,ITI,,,ID:food|,1
1,tone_stop_pellet_tone,61.056,ITI,ITI,,,ID:speaker|,1
1,pellet_dispense_dispenser,61.105,ITI,ITI,,,ID:dispenser|,1
1,pellet_retrieved,64.063,ITI,ITI,2.958,,,1
1,pellet_retrieved,64.064,ITI,ITI,,,ID:event_LED|,1
1,output_activated,64.065,ITI,ITI,,,ID:event_LED|,1
1,output_deactivated,64.768,ITI,ITI,,,ID:event_LED|,1
2,new_round,90.045,lever_out,lever_out,,,ID:round_LED|,2
2,output_activated,90.047,lever_out,lever_out,,,ID:round_LED|,2
2,tone_start_round_start,90.082,lever_out,lever_out,,,ID:speaker|,2
2,output_deactivated,90.549,lever_out,lever_out,,,ID:round_LED|,2
2,tone_stop_round_start,91.087,lever_out,lever_out,,,ID:speaker|,2
2,lever_extended_food,91.948,lever_out,lever_out,,,ID:food|,2
2,tone_start_pellet_tone,150.066,ITI,ITI,,,ID:speaker|,2
2,lever_retracted_food,150.512,ITI,ITI,,,ID:food|,2
2,tone_stop_pellet_tone,151.07,ITI,ITI,,,ID:speaker|,2
2,pellet_dispense_dispenser,151.127,ITI,ITI,,,ID:dispenser|,2
2,pellet_retrieved,151.779,ITI,ITI,0.652,,,2
2,pellet_retrieved,151.78,ITI,ITI,,,ID:event_LED|,2
2,output_activated,151.781,ITI,ITI,,,ID:event_LED|,2
2,output_deactivated,152.483,ITI,ITI,,,ID:event_LED|,2
3,new_round,180.056,lever_out,lever_out,,,ID:round_LED|,3
3,output_activated,180.058,lever_out,lever_out,,,ID:round_LED|,3
3,tone_start_round_start,180.092,lever_out,lever_out,,,ID:speaker|,3
3,output_deactivated,180.56,lever_out,lever_out,,,ID:round_LED|,3
3,tone_stop_round_start,181.097,lever_out,lever_out,,,ID:speaker|,3
3,lever_extended_food,181.965,lever_out,lever_out,,,ID:food|,3
3,tone_start_pellet_tone,240.072,ITI,ITI,,,ID:speaker|,3
3,lever_retracted_food,240.544,ITI,ITI,,,ID:food|,3
3,pellet_dispense_dispenser,241.003,ITI,ITI,,,ID:dispenser|,3
3,tone_stop_pellet_tone,241.104,ITI,ITI,,,ID:speaker|,3
3,pellet_retrieved,245.113,ITI,ITI,4.11,,,3
3,pellet_retrieved,245.114,ITI,ITI,,,ID:event_LED|,3
3,output_activated,245.116,ITI,ITI,,,ID:event_LED|,3
3,output_deactivated,245.818,ITI,ITI,,,ID:event_LED|,3
4,new_round,270.069,lever_out,lever_out,,,ID:round_LED|,4
4,output_activated,270.07,lever_out,lever_out,,,ID:round_LED|,4
4,tone_start_round_start,270.087,lever_out,lever_out,,,ID:speaker|,4
