FR|1,day|2,delay|0,experiment|door_train,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|4678,vole_2|5056
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.002,setup_phase,setup_phase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.037,setup_phase,setup_phase,,,ID:door_1|,0
0,close_finished_door_1,0.398,setup_phase,setup_phase,,,ID:door_1|,0
0,close_start_door_2,0.429,setup_phase,setup_phase,,,ID:door_2|,0
0,close_finished_door_2,0.477,setup_phase,setup_phase,,,ID:door_2|,0
0,lever_retracted_food,0.871,setup_phase,setup_phase,,,ID:food|,0
0,lever_retracted_lever_2,0.897,setup_phase,setup_phase,,,ID:lever_2|,0
0,lever_retracted_lever_1,0.907,setup_phase,setup_phase,,,ID:lever_1|,0
1,new_round,0.991,setup_phase,setup_phase,,,ID:round_LED|,1
1,output_activated,0.993,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_start_round_start,1.026,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,1.494,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_stop_round_start,2.03,lever_2_out,lever_2_out,,,ID:speaker|,1
1,lever_extended_lever_2,2.901,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,lever_pressed_lever_2,15.072,lever_2_out,lever_2_out,,,ID:lever_2|total_presses:1|,1
1,lever_extended_lever_2_|_lever_pressed_lever_2,15.072,lever_2_out,lever_2_out,12.569,,n_presses:1|,1
1,presses_reached_lever_2,15.072,lever_2_out,lever_2_out,12.57,,n_presses:1|,1
1,lever_press,15.074,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,tone_start_door_1_open,15.076,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_activated,15.077,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,output_deactivated,15.428,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,lever_retracted_lever_2,15.628,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,open_start_door_1,16.082,reward_phase,reward_phase,,,ID:door_1|,1
1,tone_stop_door_1_open,16.084,reward_phase,reward_phase,,,ID:speaker|,1
1,open_finished_door_1,17.688,reward_phase,reward_phase,,,ID:door_1|,1
1,door_1_open_|_beam_broken_door1_ir,20.631,reward_phase,reward_phase,4.55,,beam_ID:door1_ir|,1
1,beam_broken_door1_ir,20.631,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,22.543,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,22.61,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,22.62,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,22.991,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,22.998,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,23.024,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,23.034,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,23.295,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,23.349,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,23.355,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,23.364,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,50.121,reward_phase,reward_phase,,,ID:door1_ir|,1
