FR|1,day|2,delay|2,experiment|autotrain_contingent,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|4678,vole_2|0
9,lever_extended_food_|_lever_pressed_food,690.996,lever_out,lever_out,18.49,,n_presses:1|,9
9,presses_reached_food,690.996,lever_out,lever_out,18.49,,n_presses:1|,9
9,lever_press_food,690.997,lever_out,lever_out,,,ID:event_LED|,9
9,output_activated,690.999,lever_out,lever_out,,,ID:event_LED|,9
9,tone_start_pellet_tone,691.007,lever_out,lever_out,,,ID:speaker|,9
9,output_deactivated,691.351,lever_out,lever_out,,,ID:event_LED|,9
9,lever_retracted_food,691.552,lever_out,lever_out,,,ID:food|,9
9,tone_stop_pellet_tone,692.013,lever_out,lever_out,,,ID:speaker|,9
9,pellet_dispense_dispenser,693.709,ITI,ITI,,,ID:dispenser|,9
9,pellet_retrieved,715.01,ITI,ITI,21.301,,,9
9,pellet_retrieved,715.011,ITI,ITI,,,ID:event_LED|,9
9,output_activated,715.012,ITI,ITI,,,ID:event_LED|,9
9,output_deactivated,715.715,ITI,ITI,,,ID:event_LED|,9
10,new_round,723.011,lever_out,lever_out,,,ID:round_LED|,10
10,output_activated,723.012,lever_out,lever_out,,,ID:round_LED|,10
10,tone_start_round_start,723.017,lever_out,lever_out,,,ID:speaker|,10
10,output_deactivated,723.514,lever_out,lever_out,,,ID:round_LED|,10
10,tone_stop_round_start,724.021,lever_out,lever_out,,,ID:speaker|,10
10,lever_extended_food,724.918,lever_out,lever_out,,,ID:food|,10
10,lever_retracted_food,783.455,ITI,ITI,,,ID:food|,10
11,new_round,813.023,lever_out,lever_out,,,ID:round_LED|,11
11,output_activated,813.024,lever_out,lever_out,,,ID:round_LED|,11
11,tone_start_round_start,813.074,lever_out,lever_out,,,ID:speaker|,11
11,output_deactivated,813.526,lever_out,lever_out,,,ID:round_LED|,11
11,tone_stop_round_start,814.078,lever_out,lever_out,,,ID:speaker|,11
11,lever_extended_food,814.929,lever_out,lever_out,,,ID:food|,11
11,lever_retracted_food,873.467,ITI,ITI,,,ID:food|,11
12,new_round,903.033,lever_out,lever_out,,,ID:round_LED|,12
12,output_activated,903.034,lever_out,lever_out,,,ID:round_LED|,12
12,tone_start_round_start,903.08,lever_out,lever_out,,,ID:speaker|,12
12,output_deactivated,903.536,lever_out,lever_out,,,ID:round_LED|,12
12,tone_stop_round_start,904.086,lever_out,lever_out,,,ID:speaker|,12
12,lever_extended_food,904.938,lever_out,lever_out,,,ID:food|,12
12,lever_pressed_food,952.584,lever_out,lever_out,,,ID:food|total_presses:3|,12
12,lever_extended_food_|_lever_pressed_food,952.584,lever_out,lever_out,48.042,,n_presses:1|,12
12,presses_reached_food,952.584,lever_out,lever_out,48.042,,n_presses:1|,12
12,lever_press_food,952.585,lever_out,lever_out,,,ID:event_LED|,12
12,output_activated,952.588,lever_out,lever_out,,,ID:event_LED|,12
12,tone_start_pellet_tone,952.631,lever_out,lever_out,,,ID:speaker|,12
12,output_deactivated,952.939,lever_out,lever_out,,,ID:event_LED|,12
12,lever_retracted_food,953.187,lever_out,lever_out,,,ID:food|,12
12,tone_stop_pellet_tone,953.636,lever_out,lever_out,,,ID:speaker|,12
12,pellet_dispense_dispenser,955.801,ITI,ITI,,,ID:dispenser|,12
12,pellet_retrieved,956.404,ITI,ITI,0.602,,,12
12,pellet_retrieved,956.405,ITI,ITI,,,ID:event_LED|,12
12,output_activated,956.406,ITI,ITI,,,ID:event_LED|,12
12,output_deactivated,957.108,ITI,ITI,,,ID:event_LED|,12
13,new_round,984.601,lever_out,lever_out,,,ID:round_LED|,13
13,output_activated,984.603,lever_out,lever_out,,,ID:round_LED|,13
13,tone_start_round_start,984.637,lever_out,lever_out,,,ID:speaker|,13
13,output_deactivated,985.105,lever_out,lever_out,,,ID:round_LED|,13
13,tone_stop_round_start,985.642,lever_out,lever_out,,,ID:speaker|,13
13,lever_extended_food,986.511,lever_out,lever_out,,,ID:food|,13
13,lever_retracted_food,1045.057,ITI,ITI,,,ID:food|,13
14,new_round,1074.61,lever_out,lever_out,,,ID:round_LED|,14
14,output_activated,1074.611,lever_out,lever_out,,,ID:round_LED|,14
14,tone_start_round_start,1074.624,lever_out,lever_out,,,ID:speaker|,14
14,output_deactivated,1075.113,lever_out,lever_out,,,ID:round_LED|,14
14,tone_stop_round_start,1075.629,lever_out,lever_out,,,ID:speaker|,14
14,lever_extended_food,1076.516,lever_out,lever_out,,,ID:food|,14
14,lever_pressed_food,1084.853,lever_out,lever_out,,,ID:food|total_presses:4|,14
14,lever_extended_food_|_lever_pressed_food,1084.854,lever_out,lever_out,8.736,,n_presses:1|,14
14,presses_reached_food,1084.854,lever_out,lever_out,8.736,,n_presses:1|,14
14,lever_press_food,1084.855,lever_out,lever_out,,,ID:event_LED|,14
14,output_activated,1084.858,lever_out,lever_out,,,ID:event_LED|,14
14,tone_start_pellet_tone,1084.882,lever_out,lever_out,,,ID:speaker|,14
14,output_deactivated,1085.209,lever_out,lever_out,,,ID:event_LED|,14
14,lever_retracted_food,1085.41,lever_out,lever_out,,,ID:food|,14
14,tone_stop_pellet_tone,1085.889,lever_out,lever_out,,,ID:speaker|,14
14,pellet_dispense_dispenser,1087.718,ITI,ITI,,,ID:dispenser|,14
14,pellet_retrieved,1088.37,ITI,ITI,0.652,,,14
14,pellet_retrieved,1088.371,ITI,ITI,,,ID:event_LED|,14
14,output_activated,1088.372,ITI,ITI,,,ID:event_LED|,14
14,output_deactivated,1089.074,ITI,ITI,,,ID:event_LED|,14
15,new_round,1116.87,lever_out,lever_out,,,ID:round_LED|,15
15,output_activated,1116.871,lever_out,lever_out,,,ID:round_LED|,15
15,tone_start_round_start,1116.889,lever_out,lever_out,,,ID:speaker|,15
15,output_deactivated,1117.373,lever_out,lever_out,,,ID:round_LED|,15
15,tone_stop_round_start,1117.894,lever_out,lever_out,,,ID:speaker|,15
15,lever_extended_food,1118.76,lever_out,lever_out,,,ID:food|,15
15,lever_retracted_food,1177.325,ITI,ITI,,,ID:food|,15
15,output_deactivated,1206.873,ITI,ITI,,,ID:miniscope_trigger|,15
