FR|1,day|1,delay|0,experiment|door_train,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5116,vole_2|5047
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
3,beam_broken_door1_ir,425.791,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,425.989,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,426.27,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,427.403,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,427.408,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,427.83,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,427.876,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,427.895,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,427.916,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,427.926,reward_phase,reward_phase,,,ID:door1_ir|,3
3,close_start_door_1,435.62,reward_phase,reward_phase,,,ID:door_1|,3
3,close_finished_door_1,437.827,reward_phase,reward_phase,,,ID:door_1|,3
3,output_activated,437.835,reward_phase,reward_phase,,,ID:round_LED|,3
3,output_deactivated,467.492,reward_phase,reward_phase,,,ID:round_LED|,3
4,new_round,512.504,lever_2_out,lever_2_out,,,ID:round_LED|,4
4,output_activated,512.506,lever_2_out,lever_2_out,,,ID:round_LED|,4
4,tone_start_round_start,512.536,lever_2_out,lever_2_out,,,ID:speaker|,4
4,output_deactivated,513.008,lever_2_out,lever_2_out,,,ID:round_LED|,4
4,tone_stop_round_start,513.542,lever_2_out,lever_2_out,,,ID:speaker|,4
4,lever_extended_lever_2,514.409,lever_2_out,lever_2_out,,,ID:lever_2|,4
4,lever_pressed_lever_2,533.735,lever_2_out,lever_2_out,,,ID:lever_2|total_presses:2|,4
4,lever_extended_lever_2_|_lever_pressed_lever_2,533.735,lever_2_out,lever_2_out,19.723,,n_presses:1|,4
4,presses_reached_lever_2,533.735,lever_2_out,lever_2_out,19.723,,n_presses:1|,4
4,lever_press,533.735,lever_2_out,lever_2_out,,,ID:event_LED|,4
4,output_activated,533.737,lever_2_out,lever_2_out,,,ID:event_LED|,4
4,tone_start_door_1_open,533.774,lever_2_out,lever_2_out,,,ID:speaker|,4
4,output_deactivated,534.089,lever_2_out,lever_2_out,,,ID:event_LED|,4
4,open_start_door_1,534.746,reward_phase,reward_phase,,,ID:door_1|,4
4,tone_stop_door_1_open,534.779,reward_phase,reward_phase,,,ID:speaker|,4
4,lever_retracted_lever_2,535.594,lever_2_out,reward_phase,,,ID:lever_2|,4
4,open_finished_door_1,536.351,reward_phase,reward_phase,,,ID:door_1|,4
4,door_1_open_|_beam_broken_door1_ir,536.923,reward_phase,reward_phase,2.179,,beam_ID:door1_ir|,4
4,beam_broken_door1_ir,536.924,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,538.155,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,541.475,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,541.994,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,542.025,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,542.093,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,542.124,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,542.149,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,543.392,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,543.571,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,543.613,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,543.731,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,543.747,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,543.767,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,543.835,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,543.854,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,543.859,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,543.885,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,544.157,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,544.467,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,579.392,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,580.544,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,580.56,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,583.225,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,588.353,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,588.616,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,589.56,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,589.571,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_broken_door1_ir,590.109,reward_phase,reward_phase,,,ID:door1_ir|,4
4,beam_unbroken_door1_ir,590.592,reward_phase,reward_phase,,,ID:door1_ir|,4
4,close_start_door_1,594.755,reward_phase,reward_phase,,,ID:door_1|,4
4,close_finished_door_1,596.863,reward_phase,reward_phase,,,ID:door_1|,4
4,output_activated,596.867,reward_phase,reward_phase,,,ID:round_LED|,4
4,output_deactivated,615.856,reward_phase,reward_phase,,,ID:round_LED|,4
