FR|1,day|1,delay|0,experiment|door_train,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|4678,vole_2|5050
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.003,setup_phase,setup_phase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.036,setup_phase,setup_phase,,,ID:door_1|,0
0,close_finished_door_1,0.407,setup_phase,setup_phase,,,ID:door_1|,0
0,close_start_door_2,0.416,setup_phase,setup_phase,,,ID:door_2|,0
0,close_finished_door_2,0.444,setup_phase,setup_phase,,,ID:door_2|,0
0,lever_retracted_lever_1,0.879,setup_phase,setup_phase,,,ID:lever_1|,0
0,lever_retracted_food,0.914,setup_phase,setup_phase,,,ID:food|,0
1,new_round,0.952,setup_phase,setup_phase,,,ID:round_LED|,1
1,output_activated,0.953,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_start_round_start,0.961,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,1.455,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.965,lever_2_out,lever_2_out,,,ID:speaker|,1
1,lever_extended_lever_2,2.839,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,tone_start_door_1_open,60.99,lever_2_out,lever_2_out,,,ID:speaker|,1
1,open_start_door_1,61.964,reward_phase,reward_phase,,,ID:door_1|,1
1,tone_stop_door_1_open,61.995,reward_phase,reward_phase,,,ID:speaker|,1
1,open_finished_door_1,63.569,reward_phase,reward_phase,,,ID:door_1|,1
1,door_1_open_|_beam_broken_door1_ir,64.218,reward_phase,reward_phase,2.256,,beam_ID:door1_ir|,1
1,beam_broken_door1_ir,64.218,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,66.617,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,114.8,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,114.973,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,115.22,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,117.766,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,119.795,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,121.681,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,121.885,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,121.925,reward_phase,reward_phase,,,ID:door1_ir|,1
1,close_start_door_1,121.964,reward_phase,reward_phase,,,ID:door_1|,1
1,close_finished_door_1,124.024,reward_phase,reward_phase,,,ID:door_1|,1
1,output_activated,124.045,reward_phase,reward_phase,,,ID:round_LED|,1
1,output_deactivated,141.47,reward_phase,reward_phase,,,ID:round_LED|,1
