FR|1,day|1,experiment|autotrain_contingent,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|4678,vole_2|0
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.002,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
1,new_round,0.004,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.006,lever_out,lever_out,,,ID:round_LED|,1
1,tone_start_round_start,0.02,lever_out,lever_out,,,ID:speaker|,1
1,output_deactivated,0.508,lever_out,lever_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.024,lever_out,lever_out,,,ID:speaker|,1
1,lever_extended_food,1.909,lever_out,lever_out,,,ID:food|,1
1,lever_press_food,3.013,lever_out,lever_out,,,ID:event_LED|,1
1,output_activated,3.015,lever_out,lever_out,,,ID:event_LED|,1
1,lever_pressed_food,3.016,lever_out,lever_out,,,ID:food|total_presses:1|,1
1,lever_extended_food_|_lever_pressed_food,3.016,lever_out,lever_out,1.503,,n_presses:1|,1
1,presses_reached_food,3.016,lever_out,lever_out,1.504,,n_presses:1|,1
1,tone_start_pellet_tone,3.046,ITI,ITI,,,ID:speaker|,1
1,output_deactivated,3.367,ITI,ITI,,,ID:event_LED|,1
1,lever_retracted_food,3.774,lever_out,ITI,,,ID:food|,1
1,pellet_dispense_dispenser,3.978,ITI,ITI,,,ID:dispenser|,1
1,tone_stop_pellet_tone,4.051,ITI,ITI,,,ID:speaker|,1
1,pellet_retrieved,5.984,ITI,ITI,2.005,,,1
1,pellet_retrieved,5.984,ITI,ITI,,,ID:event_LED|,1
1,output_activated,5.985,ITI,ITI,,,ID:event_LED|,1
1,output_deactivated,6.687,ITI,ITI,,,ID:event_LED|,1
2,new_round,33.026,lever_out,lever_out,,,ID:round_LED|,2
2,output_activated,33.028,lever_out,lever_out,,,ID:round_LED|,2
2,tone_start_round_start,33.06,lever_out,lever_out,,,ID:speaker|,2
2,output_deactivated,33.53,lever_out,lever_out,,,ID:round_LED|,2
2,tone_stop_round_start,34.065,lever_out,lever_out,,,ID:speaker|,2
2,lever_extended_food,34.94,lever_out,lever_out,,,ID:food|,2
2,lever_pressed_food,42.682,lever_out,lever_out,,,ID:food|total_presses:2|,2
2,lever_extended_food_|_lever_pressed_food,42.682,lever_out,lever_out,8.148,,n_presses:1|,2
2,presses_reached_food,42.683,lever_out,lever_out,8.148,,n_presses:1|,2
2,lever_press_food,42.683,lever_out,lever_out,,,ID:event_LED|,2
2,output_activated,42.686,ITI,ITI,,,ID:event_LED|,2
2,tone_start_pellet_tone,42.708,ITI,ITI,,,ID:speaker|,2
2,output_deactivated,43.038,ITI,ITI,,,ID:event_LED|,2
2,lever_retracted_food,43.239,ITI,ITI,,,ID:food|,2
2,pellet_dispense_dispenser,43.541,ITI,ITI,,,ID:dispenser|,2
2,tone_stop_pellet_tone,43.714,ITI,ITI,,,ID:speaker|,2
2,pellet_retrieved,44.946,ITI,ITI,1.404,,,2
2,pellet_retrieved,44.946,ITI,ITI,,,ID:event_LED|,2
2,output_activated,44.947,ITI,ITI,,,ID:event_LED|,2
2,output_deactivated,45.649,ITI,ITI,,,ID:event_LED|,2
3,new_round,72.692,lever_out,lever_out,,,ID:round_LED|,3
3,output_activated,72.694,lever_out,lever_out,,,ID:round_LED|,3
3,tone_start_round_start,72.722,lever_out,lever_out,,,ID:speaker|,3
3,output_deactivated,73.196,lever_out,lever_out,,,ID:round_LED|,3
