FR|1,day|2,delay|2,experiment|autotrain_contingent,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5120,vole_2|0
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
11,output_deactivated,860.823,lever_out,lever_out,,,ID:round_LED|,11
11,tone_stop_round_start,861.349,lever_out,lever_out,,,ID:speaker|,11
11,lever_extended_food,862.225,lever_out,lever_out,,,ID:food|,11
11,lever_retracted_food,920.766,ITI,ITI,,,ID:food|,11
12,new_round,950.328,lever_out,lever_out,,,ID:round_LED|,12
12,output_activated,950.33,lever_out,lever_out,,,ID:round_LED|,12
12,tone_start_round_start,950.343,lever_out,lever_out,,,ID:speaker|,12
12,output_deactivated,950.831,lever_out,lever_out,,,ID:round_LED|,12
12,tone_stop_round_start,951.347,lever_out,lever_out,,,ID:speaker|,12
12,lever_extended_food,952.233,lever_out,lever_out,,,ID:food|,12
12,lever_retracted_food,1010.781,ITI,ITI,,,ID:food|,12
13,new_round,1040.333,lever_out,lever_out,,,ID:round_LED|,13
13,output_activated,1040.335,lever_out,lever_out,,,ID:round_LED|,13
13,tone_start_round_start,1040.372,lever_out,lever_out,,,ID:speaker|,13
13,output_deactivated,1040.837,lever_out,lever_out,,,ID:round_LED|,13
13,tone_stop_round_start,1041.378,lever_out,lever_out,,,ID:speaker|,13
13,lever_extended_food,1042.239,lever_out,lever_out,,,ID:food|,13
13,lever_retracted_food,1100.787,ITI,ITI,,,ID:food|,13
14,new_round,1130.339,lever_out,lever_out,,,ID:round_LED|,14
14,output_activated,1130.342,lever_out,lever_out,,,ID:round_LED|,14
14,tone_start_round_start,1130.355,lever_out,lever_out,,,ID:speaker|,14
14,output_deactivated,1130.843,lever_out,lever_out,,,ID:round_LED|,14
14,tone_stop_round_start,1131.36,lever_out,lever_out,,,ID:speaker|,14
14,lever_extended_food,1132.243,lever_out,lever_out,,,ID:food|,14
14,lever_retracted_food,1190.794,ITI,ITI,,,ID:food|,14
15,new_round,1220.349,lever_out,lever_out,,,ID:round_LED|,15
15,output_activated,1220.35,lever_out,lever_out,,,ID:round_LED|,15
15,tone_start_round_start,1220.357,lever_out,lever_out,,,ID:speaker|,15
15,output_deactivated,1220.852,lever_out,lever_out,,,ID:round_LED|,15
15,tone_stop_round_start,1221.362,lever_out,lever_out,,,ID:speaker|,15
15,lever_extended_food,1222.251,lever_out,lever_out,,,ID:food|,15
15,lever_retracted_food,1280.803,ITI,ITI,,,ID:food|,15
15,output_deactivated,1310.354,ITI,ITI,,,ID:miniscope_trigger|,15
