FR|1,day|2,delay|0,experiment|door_train,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5116,vole_2|5047
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.002,setup_phase,setup_phase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.064,setup_phase,setup_phase,,,ID:door_1|,0
0,close_finished_door_1,0.384,setup_phase,setup_phase,,,ID:door_1|,0
0,close_start_door_2,0.391,setup_phase,setup_phase,,,ID:door_2|,0
0,close_finished_door_2,0.463,setup_phase,setup_phase,,,ID:door_2|,0
0,lever_retracted_lever_2,0.726,setup_phase,setup_phase,,,ID:lever_2|,0
0,lever_retracted_lever_1,0.733,setup_phase,setup_phase,,,ID:lever_1|,0
0,lever_retracted_food,0.759,setup_phase,setup_phase,,,ID:food|,0
1,new_round,0.972,setup_phase,setup_phase,,,ID:round_LED|,1
1,output_activated,0.973,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_start_round_start,1.001,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,1.475,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_stop_round_start,2.005,lever_2_out,lever_2_out,,,ID:speaker|,1
1,lever_extended_lever_2,2.882,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,tone_start_door_1_open,61.005,lever_2_out,lever_2_out,,,ID:speaker|,1
1,lever_retracted_lever_2,61.429,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,open_start_door_1,61.986,reward_phase,reward_phase,,,ID:door_1|,1
1,tone_stop_door_1_open,62.01,reward_phase,reward_phase,,,ID:speaker|,1
1,open_finished_door_1,63.591,reward_phase,reward_phase,,,ID:door_1|,1
1,door_1_open_|_beam_broken_door1_ir,103.331,reward_phase,reward_phase,41.347,,beam_ID:door1_ir|,1
1,beam_broken_door1_ir,103.331,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,103.768,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,105.462,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,105.845,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,115.416,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,115.615,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,118.663,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,118.675,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,119.328,reward_phase,reward_phase,,,ID:door1_ir|,1
1,close_start_door_1,122.029,reward_phase,reward_phase,,,ID:door_1|,1
1,beam_unbroken_door1_ir,122.047,reward_phase,reward_phase,,,ID:door1_ir|,1
1,close_finished_door_1,123.846,reward_phase,reward_phase,,,ID:door_1|,1
1,output_activated,123.857,reward_phase,reward_phase,,,ID:round_LED|,1
1,output_deactivated,135.08,reward_phase,reward_phase,,,ID:round_LED|,1
2,new_round,180.086,lever_2_out,lever_2_out,,,ID:round_LED|,2
2,output_activated,180.088,lever_2_out,lever_2_out,,,ID:round_LED|,2
2,tone_start_round_start,180.091,lever_2_out,lever_2_out,,,ID:speaker|,2
2,output_deactivated,180.59,lever_2_out,lever_2_out,,,ID:round_LED|,2
2,tone_stop_round_start,181.096,lever_2_out,lever_2_out,,,ID:speaker|,2
2,lever_pressed_lever_2,181.811,lever_2_out,lever_2_out,,,ID:lever_2|total_presses:1|,2
