FR|1,day|2,experiment|autotrain,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5113,vole_2|0
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.004,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
1,new_round,0.006,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.008,lever_out,lever_out,,,ID:round_LED|,1
1,tone_start_round_start,0.034,lever_out,lever_out,,,ID:speaker|,1
1,output_deactivated,0.509,lever_out,lever_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.038,lever_out,lever_out,,,ID:speaker|,1
1,lever_extended_food,1.908,lever_out,lever_out,,,ID:food|,1
1,lever_press_food,15.491,lever_out,lever_out,,,ID:event_LED|,1
1,lever_pressed_food,15.492,lever_out,lever_out,,,ID:food|total_presses:1|,1
1,lever_extended_food_|_lever_pressed_food,15.492,lever_out,lever_out,13.973,,n_presses:1|,1
1,presses_reached_food,15.492,lever_out,lever_out,13.973,,n_presses:1|,1
1,output_activated,15.492,lever_out,lever_out,,,ID:event_LED|,1
1,tone_start_pellet_tone,15.537,ITI,ITI,,,ID:speaker|,1
1,output_deactivated,15.844,ITI,ITI,,,ID:event_LED|,1
1,lever_retracted_food,15.991,lever_out,ITI,,,ID:food|,1
1,tone_stop_pellet_tone,16.542,ITI,ITI,,,ID:speaker|,1
1,pellet_dispense_dispenser,18.256,ITI,ITI,,,ID:dispenser|,1
1,pellet_retrieved,18.607,ITI,ITI,0.351,,,1
1,pellet_retrieved,18.608,ITI,ITI,,,ID:event_LED|,1
1,output_activated,18.61,ITI,ITI,,,ID:event_LED|,1
1,output_deactivated,19.312,ITI,ITI,,,ID:event_LED|,1
2,new_round,45.501,lever_out,lever_out,,,ID:round_LED|,2
2,output_activated,45.502,lever_out,lever_out,,,ID:round_LED|,2
2,tone_start_round_start,45.513,lever_out,lever_out,,,ID:speaker|,2
2,output_deactivated,46.004,lever_out,lever_out,,,ID:round_LED|,2
2,tone_stop_round_start,46.518,lever_out,lever_out,,,ID:speaker|,2
2,lever_extended_food,47.41,lever_out,lever_out,,,ID:food|,2
2,lever_pressed_food,49.118,lever_out,lever_out,,,ID:food|total_presses:2|,2
2,lever_extended_food_|_lever_pressed_food,49.118,lever_out,lever_out,2.107,,n_presses:1|,2
2,presses_reached_food,49.119,lever_out,lever_out,2.108,,n_presses:1|,2
2,lever_press_food,49.121,ITI,ITI,,,ID:event_LED|,2
2,output_activated,49.13,ITI,ITI,,,ID:event_LED|,2
2,tone_start_pellet_tone,49.149,ITI,ITI,,,ID:speaker|,2
2,output_deactivated,49.482,ITI,ITI,,,ID:event_LED|,2
2,lever_retracted_food,49.624,ITI,ITI,,,ID:food|,2
2,tone_stop_pellet_tone,50.155,ITI,ITI,,,ID:speaker|,2
2,pellet_dispense_dispenser,50.335,ITI,ITI,,,ID:dispenser|,2
2,pellet_retrieved,50.736,ITI,ITI,0.401,,,2
2,pellet_retrieved,50.737,ITI,ITI,,,ID:event_LED|,2
2,output_activated,50.738,ITI,ITI,,,ID:event_LED|,2
2,output_deactivated,51.44,ITI,ITI,,,ID:event_LED|,2
3,new_round,79.132,lever_out,lever_out,,,ID:round_LED|,3
3,output_activated,79.133,lever_out,lever_out,,,ID:round_LED|,3
3,tone_start_round_start,79.135,lever_out,lever_out,,,ID:speaker|,3
3,output_deactivated,79.635,lever_out,lever_out,,,ID:round_LED|,3
3,tone_stop_round_start,80.141,lever_out,lever_out,,,ID:speaker|,3
3,lever_extended_food,81.028,lever_out,lever_out,,,ID:food|,3
3,lever_pressed_food,111.13,lever_out,lever_out,,,ID:food|total_presses:3|,3
3,lever_extended_food_|_lever_pressed_food,111.131,lever_out,lever_out,30.489,,n_presses:1|,3
3,presses_reached_food,111.131,lever_out,lever_out,30.489,,n_presses:1|,3
3,lever_press_food,111.132,lever_out,lever_out,,,ID:event_LED|,3
3,output_activated,111.136,ITI,ITI,,,ID:event_LED|,3
3,tone_start_pellet_tone,111.175,ITI,ITI,,,ID:speaker|,3
3,output_deactivated,111.488,ITI,ITI,,,ID:event_LED|,3
3,lever_retracted_food,111.688,ITI,ITI,,,ID:food|,3
3,pellet_dispense_dispenser,112.092,ITI,ITI,,,ID:dispenser|,3
3,tone_stop_pellet_tone,112.181,ITI,ITI,,,ID:speaker|,3
3,pellet_retrieved,112.895,ITI,ITI,0.803,,,3
3,pellet_retrieved,112.896,ITI,ITI,,,ID:event_LED|,3
3,output_activated,112.898,ITI,ITI,,,ID:event_LED|,3
3,output_deactivated,113.6,ITI,ITI,,,ID:event_LED|,3
4,new_round,141.143,lever_out,lever_out,,,ID:round_LED|,4
4,output_activated,141.144,lever_out,lever_out,,,ID:round_LED|,4
4,tone_start_round_start,141.156,lever_out,lever_out,,,ID:speaker|,4
4,output_deactivated,141.645,lever_out,lever_out,,,ID:round_LED|,4
4,tone_stop_round_start,142.161,lever_out,lever_out,,,ID:speaker|,4
4,lever_extended_food,143.056,lever_out,lever_out,,,ID:food|,4
4,lever_pressed_food,143.656,lever_out,lever_out,,,ID:food|total_presses:4|,4
4,lever_extended_food_|_lever_pressed_food,143.656,lever_out,lever_out,1.005,,n_presses:1|,4
4,presses_reached_food,143.656,lever_out,lever_out,1.005,,n_presses:1|,4
4,lever_press_food,143.657,lever_out,lever_out,,,ID:event_LED|,4
4,output_activated,143.661,ITI,ITI,,,ID:event_LED|,4
4,tone_start_pellet_tone,143.681,ITI,ITI,,,ID:speaker|,4
4,output_deactivated,144.013,ITI,ITI,,,ID:event_LED|,4
4,lever_retracted_food,144.216,ITI,ITI,,,ID:food|,4
4,tone_stop_pellet_tone,144.687,ITI,ITI,,,ID:speaker|,4
4,pellet_dispense_dispenser,147.776,ITI,ITI,,,ID:dispenser|,4
4,pellet_retrieved,147.928,ITI,ITI,0.152,,,4
4,pellet_retrieved,147.929,ITI,ITI,,,ID:event_LED|,4
4,output_activated,147.93,ITI,ITI,,,ID:event_LED|,4
4,output_deactivated,148.632,ITI,ITI,,,ID:event_LED|,4
5,new_round,173.67,lever_out,lever_out,,,ID:round_LED|,5
5,output_activated,173.672,lever_out,lever_out,,,ID:round_LED|,5
5,tone_start_round_start,173.717,lever_out,lever_out,,,ID:speaker|,5
5,output_deactivated,174.174,lever_out,lever_out,,,ID:round_LED|,5
