FR|1,day|1,delay|0,experiment|door_train_contingent,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5113,vole_2|5050
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.002,setup_phase,setup_phase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.056,setup_phase,setup_phase,,,ID:door_1|,0
0,close_finished_door_1,0.244,setup_phase,setup_phase,,,ID:door_1|,0
0,close_start_door_2,0.245,setup_phase,setup_phase,,,ID:door_2|,0
0,close_finished_door_2,0.248,setup_phase,setup_phase,,,ID:door_2|,0
0,lever_retracted_food,0.631,setup_phase,setup_phase,,,ID:food|,0
0,lever_retracted_lever_2,0.659,setup_phase,setup_phase,,,ID:lever_2|,0
0,lever_retracted_lever_1,0.669,setup_phase,setup_phase,,,ID:lever_1|,0
1,new_round,0.775,setup_phase,setup_phase,,,ID:round_LED|,1
1,output_activated,0.778,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_start_round_start,0.791,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,1.28,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.795,lever_2_out,lever_2_out,,,ID:speaker|,1
1,lever_extended_lever_2,2.687,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,lever_pressed_lever_2,5.618,lever_2_out,lever_2_out,,,ID:lever_2|total_presses:1|,1
1,lever_extended_lever_2_|_lever_pressed_lever_2,5.619,lever_2_out,lever_2_out,3.331,,n_presses:1|,1
1,presses_reached_lever_2,5.619,lever_2_out,lever_2_out,3.332,,n_presses:1|,1
1,lever_press,5.619,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,output_activated,5.622,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,tone_start_door_1_open,5.638,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,5.974,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,lever_retracted_lever_2,6.172,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,open_start_door_1,6.633,reward_phase,reward_phase,,,ID:door_1|,1
1,tone_stop_door_1_open,6.644,reward_phase,reward_phase,,,ID:speaker|,1
1,open_finished_door_1,8.238,reward_phase,reward_phase,,,ID:door_1|,1
1,door_1_open_|_beam_broken_door1_ir,9.477,reward_phase,reward_phase,2.846,,beam_ID:door1_ir|,1
1,beam_broken_door1_ir,9.477,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,10.575,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,25.638,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,25.797,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,25.861,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,26.037,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,26.115,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,26.139,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,26.171,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,26.191,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,26.54,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,27.113,reward_phase,reward_phase,,,ID:door1_ir|,1
1,close_start_door_1,66.692,reward_phase,reward_phase,,,ID:door_1|,1
