FR|1,day|3,experiment|autotrain,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5116,vole_2|0
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.002,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
1,new_round,0.004,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.006,lever_out,lever_out,,,ID:round_LED|,1
1,tone_start_round_start,0.037,lever_out,lever_out,,,ID:speaker|,1
1,output_deactivated,0.507,lever_out,lever_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.041,lever_out,lever_out,,,ID:speaker|,1
1,lever_extended_food,1.904,lever_out,lever_out,,,ID:food|,1
1,tone_start_pellet_tone,60.037,ITI,ITI,,,ID:speaker|,1
1,lever_retracted_food,60.476,lever_out,ITI,,,ID:food|,1
1,tone_stop_pellet_tone,61.042,ITI,ITI,,,ID:speaker|,1
1,pellet_dispense_dispenser,63.247,ITI,ITI,,,ID:dispenser|,1
2,new_round,90.027,lever_out,lever_out,,,ID:round_LED|,2
2,output_activated,90.028,lever_out,lever_out,,,ID:round_LED|,2
2,tone_start_round_start,90.039,lever_out,lever_out,,,ID:speaker|,2
2,output_deactivated,90.531,lever_out,lever_out,,,ID:round_LED|,2
2,tone_stop_round_start,91.044,lever_out,lever_out,,,ID:speaker|,2
2,lever_extended_food,91.936,lever_out,lever_out,,,ID:food|,2
2,pellet_retrieved,124.539,ITI,lever_out,61.291,,,1
2,pellet_retrieved,124.539,lever_out,lever_out,,,ID:event_LED|,2
2,output_activated,124.54,lever_out,lever_out,,,ID:event_LED|,2
2,output_deactivated,125.242,lever_out,lever_out,,,ID:event_LED|,2
2,tone_start_pellet_tone,150.064,ITI,ITI,,,ID:speaker|,2
2,lever_retracted_food,150.503,ITI,ITI,,,ID:food|,2
2,tone_stop_pellet_tone,151.069,ITI,ITI,,,ID:speaker|,2
2,pellet_dispense_dispenser,151.822,ITI,ITI,,,ID:dispenser|,2
2,pellet_retrieved,152.475,ITI,ITI,0.653,,,2
2,pellet_retrieved,152.476,ITI,ITI,,,ID:event_LED|,2
2,output_activated,152.478,ITI,ITI,,,ID:event_LED|,2
2,output_deactivated,153.18,ITI,ITI,,,ID:event_LED|,2
3,new_round,180.037,lever_out,lever_out,,,ID:round_LED|,3
3,output_activated,180.038,lever_out,lever_out,,,ID:round_LED|,3
3,tone_start_round_start,180.069,lever_out,lever_out,,,ID:speaker|,3
3,output_deactivated,180.54,lever_out,lever_out,,,ID:round_LED|,3
3,tone_stop_round_start,181.073,lever_out,lever_out,,,ID:speaker|,3
3,lever_extended_food,181.943,lever_out,lever_out,,,ID:food|,3
3,tone_start_pellet_tone,240.056,ITI,ITI,,,ID:speaker|,3
3,lever_retracted_food,240.52,ITI,ITI,,,ID:food|,3
3,tone_stop_pellet_tone,241.068,ITI,ITI,,,ID:speaker|,3
3,pellet_dispense_dispenser,241.938,ITI,ITI,,,ID:dispenser|,3
3,pellet_retrieved,243.092,ITI,ITI,1.153,,,3
3,pellet_retrieved,243.093,ITI,ITI,,,ID:event_LED|,3
3,output_activated,243.093,ITI,ITI,,,ID:event_LED|,3
3,output_deactivated,243.795,ITI,ITI,,,ID:event_LED|,3
4,new_round,270.049,lever_out,lever_out,,,ID:round_LED|,4
4,output_activated,270.05,lever_out,lever_out,,,ID:round_LED|,4
4,tone_start_round_start,270.062,lever_out,lever_out,,,ID:speaker|,4
