FR|1,day|1,experiment|autotrain,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5116,vole_2|0
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.004,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
1,new_round,0.005,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.006,lever_out,lever_out,,,ID:round_LED|,1
1,tone_start_round_start,0.037,lever_out,lever_out,,,ID:speaker|,1
1,output_deactivated,0.508,lever_out,lever_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.041,lever_out,lever_out,,,ID:speaker|,1
1,lever_extended_food,1.89,lever_out,lever_out,,,ID:food|,1
1,tone_start_pellet_tone,60.037,ITI,ITI,,,ID:speaker|,1
1,lever_retracted_food,60.481,lever_out,ITI,,,ID:food|,1
1,tone_stop_pellet_tone,61.043,ITI,ITI,,,ID:speaker|,1
1,pellet_dispense_dispenser,61.193,ITI,ITI,,,ID:dispenser|,1
1,pellet_retrieved,79.785,ITI,ITI,18.591,,,1
1,pellet_retrieved,79.786,ITI,ITI,,,ID:event_LED|,1
1,output_activated,79.787,ITI,ITI,,,ID:event_LED|,1
1,output_deactivated,80.49,ITI,ITI,,,ID:event_LED|,1
2,new_round,90.041,lever_out,lever_out,,,ID:round_LED|,2
2,tone_start_round_start,90.043,lever_out,lever_out,,,ID:speaker|,2
2,output_activated,90.043,lever_out,lever_out,,,ID:round_LED|,2
2,output_deactivated,90.545,lever_out,lever_out,,,ID:round_LED|,2
2,tone_stop_round_start,91.048,lever_out,lever_out,,,ID:speaker|,2
2,lever_extended_food,91.951,lever_out,lever_out,,,ID:food|,2
2,tone_start_pellet_tone,150.07,ITI,ITI,,,ID:speaker|,2
2,lever_retracted_food,150.515,ITI,ITI,,,ID:food|,2
2,tone_stop_pellet_tone,151.075,ITI,ITI,,,ID:speaker|,2
2,pellet_dispense_dispenser,151.076,ITI,ITI,,,ID:dispenser|,2
2,pellet_retrieved,152.38,ITI,ITI,1.304,,,2
2,pellet_retrieved,152.381,ITI,ITI,,,ID:event_LED|,2
2,output_activated,152.382,ITI,ITI,,,ID:event_LED|,2
2,output_deactivated,153.084,ITI,ITI,,,ID:event_LED|,2
3,new_round,180.061,lever_out,lever_out,,,ID:round_LED|,3
3,output_activated,180.063,lever_out,lever_out,,,ID:round_LED|,3
3,tone_start_round_start,180.084,lever_out,lever_out,,,ID:speaker|,3
3,output_deactivated,180.564,lever_out,lever_out,,,ID:round_LED|,3
3,tone_stop_round_start,181.09,lever_out,lever_out,,,ID:speaker|,3
3,lever_extended_food,181.968,lever_out,lever_out,,,ID:food|,3
