FR|1,day|2,delay|0,experiment|door_train,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5120,vole_2|5050
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.003,setup_phase,setup_phase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.056,setup_phase,setup_phase,,,ID:door_1|,0
0,close_finished_door_1,0.159,setup_phase,setup_phase,,,ID:door_1|,0
0,close_start_door_2,0.208,setup_phase,setup_phase,,,ID:door_2|,0
0,close_finished_door_2,0.478,setup_phase,setup_phase,,,ID:door_2|,0
0,lever_retracted_food,1.006,setup_phase,setup_phase,,,ID:food|,0
1,new_round,1.012,setup_phase,setup_phase,,,ID:round_LED|,1
1,output_activated,1.055,lever_2_out,lever_2_out,,,ID:round_LED|,1
0,lever_retracted_lever_2,1.068,setup_phase,lever_2_out,,,ID:lever_2|,0
0,lever_retracted_lever_1,1.07,setup_phase,lever_2_out,,,ID:lever_1|,0
1,tone_start_round_start,1.106,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,1.557,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_stop_round_start,2.11,lever_2_out,lever_2_out,,,ID:speaker|,1
1,lever_extended_lever_2,2.972,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,tone_start_door_1_open,61.07,lever_2_out,lever_2_out,,,ID:speaker|,1
1,lever_retracted_lever_2,61.499,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,open_start_door_1,62.056,reward_phase,reward_phase,,,ID:door_1|,1
1,tone_stop_door_1_open,62.075,reward_phase,reward_phase,,,ID:speaker|,1
1,open_finished_door_1,63.66,reward_phase,reward_phase,,,ID:door_1|,1
1,door_1_open_|_beam_broken_door1_ir,65.509,reward_phase,reward_phase,3.456,,beam_ID:door1_ir|,1
1,beam_broken_door1_ir,65.51,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,67.04,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,76.122,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,76.221,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,76.916,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,78.247,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,80.221,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,80.565,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,86.564,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,87.495,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,87.505,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,87.849,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,95.106,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,95.623,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,96.89,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,97.275,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,105.319,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,106.211,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,107.458,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,107.73,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,110.599,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,110.685,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,110.721,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,111.188,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,113.636,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,113.937,reward_phase,reward_phase,,,ID:door1_ir|,1
1,close_start_door_1,122.144,reward_phase,reward_phase,,,ID:door_1|,1
1,close_finished_door_1,124.0,reward_phase,reward_phase,,,ID:door_1|,1
1,output_activated,124.005,reward_phase,reward_phase,,,ID:round_LED|,1
1,output_deactivated,135.878,reward_phase,reward_phase,,,ID:round_LED|,1
2,new_round,180.887,lever_2_out,lever_2_out,,,ID:round_LED|,2
2,output_activated,180.889,lever_2_out,lever_2_out,,,ID:round_LED|,2
2,tone_start_round_start,180.911,lever_2_out,lever_2_out,,,ID:speaker|,2
2,output_deactivated,181.39,lever_2_out,lever_2_out,,,ID:round_LED|,2
2,tone_stop_round_start,181.916,lever_2_out,lever_2_out,,,ID:speaker|,2
2,lever_extended_lever_2,182.793,lever_2_out,lever_2_out,,,ID:lever_2|,2
2,tone_start_door_1_open,240.925,lever_2_out,lever_2_out,,,ID:speaker|,2
2,lever_retracted_lever_2,241.346,lever_2_out,lever_2_out,,,ID:lever_2|,2
2,open_start_door_1,241.899,reward_phase,reward_phase,,,ID:door_1|,2
2,tone_stop_door_1_open,241.93,reward_phase,reward_phase,,,ID:speaker|,2
2,open_finished_door_1,243.504,reward_phase,reward_phase,,,ID:door_1|,2
2,door_1_open_|_beam_broken_door1_ir,245.291,reward_phase,reward_phase,3.394,,beam_ID:door1_ir|,2
2,beam_broken_door1_ir,245.291,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,247.719,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_broken_door1_ir,286.393,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,286.953,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_broken_door1_ir,290.631,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,291.698,reward_phase,reward_phase,,,ID:door1_ir|,2
2,close_start_door_1,301.951,reward_phase,reward_phase,,,ID:door_1|,2
2,close_finished_door_1,303.959,reward_phase,reward_phase,,,ID:door_1|,2
2,output_activated,303.963,reward_phase,reward_phase,,,ID:round_LED|,2
2,output_deactivated,315.289,reward_phase,reward_phase,,,ID:round_LED|,2
3,new_round,360.299,lever_2_out,lever_2_out,,,ID:round_LED|,3
3,output_activated,360.301,lever_2_out,lever_2_out,,,ID:round_LED|,3
3,tone_start_round_start,360.347,lever_2_out,lever_2_out,,,ID:speaker|,3
3,output_deactivated,360.803,lever_2_out,lever_2_out,,,ID:round_LED|,3
3,tone_stop_round_start,361.352,lever_2_out,lever_2_out,,,ID:speaker|,3
3,lever_extended_lever_2,362.177,lever_2_out,lever_2_out,,,ID:lever_2|,3
3,lever_pressed_lever_2,391.826,lever_2_out,lever_2_out,,,ID:lever_2|total_presses:1|,3
3,lever_extended_lever_2_|_lever_pressed_lever_2,391.826,lever_2_out,lever_2_out,30.019,,n_presses:1|,3
3,presses_reached_lever_2,391.826,lever_2_out,lever_2_out,30.019,,n_presses:1|,3
3,lever_press,391.826,lever_2_out,lever_2_out,,,ID:event_LED|,3
3,output_activated,391.828,lever_2_out,lever_2_out,,,ID:event_LED|,3
3,tone_start_door_1_open,391.844,lever_2_out,lever_2_out,,,ID:speaker|,3
3,output_deactivated,392.179,lever_2_out,lever_2_out,,,ID:event_LED|,3
3,lever_retracted_lever_2,392.323,lever_2_out,lever_2_out,,,ID:lever_2|,3
3,open_start_door_1,392.837,reward_phase,reward_phase,,,ID:door_1|,3
3,tone_stop_door_1_open,392.849,reward_phase,reward_phase,,,ID:speaker|,3
3,door_1_open_|_beam_broken_door1_ir,393.954,reward_phase,reward_phase,1.119,,beam_ID:door1_ir|,3
3,beam_broken_door1_ir,393.955,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,394.394,reward_phase,reward_phase,,,ID:door1_ir|,3
3,open_finished_door_1,394.467,reward_phase,reward_phase,,,ID:door_1|,3
3,beam_broken_door1_ir,395.479,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,396.222,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,406.95,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,408.53,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,410.176,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,410.721,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,420.68,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,421.298,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,421.428,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,421.447,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,421.488,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,421.544,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,421.559,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,422.329,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,422.335,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,422.5,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,444.219,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,445.582,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,447.951,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,448.012,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,449.742,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,450.303,reward_phase,reward_phase,,,ID:door1_ir|,3
3,close_start_door_1,452.87,reward_phase,reward_phase,,,ID:door_1|,3
3,close_finished_door_1,454.727,reward_phase,reward_phase,,,ID:door_1|,3
3,output_activated,454.731,reward_phase,reward_phase,,,ID:round_LED|,3
3,output_deactivated,466.605,reward_phase,reward_phase,,,ID:round_LED|,3
4,new_round,511.615,lever_2_out,lever_2_out,,,ID:round_LED|,4
4,output_activated,511.617,lever_2_out,lever_2_out,,,ID:round_LED|,4
4,tone_start_round_start,511.63,lever_2_out,lever_2_out,,,ID:speaker|,4
4,output_deactivated,512.119,lever_2_out,lever_2_out,,,ID:round_LED|,4
4,tone_stop_round_start,512.635,lever_2_out,lever_2_out,,,ID:speaker|,4
4,lever_extended_lever_2,513.494,lever_2_out,lever_2_out,,,ID:lever_2|,4
4,tone_start_door_1_open,571.65,lever_2_out,lever_2_out,,,ID:speaker|,4
4,lever_retracted_lever_2,572.069,lever_2_out,lever_2_out,,,ID:lever_2|,4
