FR|1,day|1,delay|0,experiment|door_train,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|4678,vole_2|5050
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.003,setup_phase,setup_phase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.031,setup_phase,setup_phase,,,ID:door_1|,0
0,close_finished_door_1,0.095,setup_phase,setup_phase,,,ID:door_1|,0
0,close_start_door_2,0.15,setup_phase,setup_phase,,,ID:door_2|,0
0,close_finished_door_2,0.352,setup_phase,setup_phase,,,ID:door_2|,0
0,lever_retracted_food,0.81,setup_phase,setup_phase,,,ID:food|,0
0,lever_retracted_lever_2,0.834,setup_phase,setup_phase,,,ID:lever_2|,0
0,lever_retracted_lever_1,0.853,setup_phase,setup_phase,,,ID:lever_1|,0
1,new_round,0.876,setup_phase,setup_phase,,,ID:round_LED|,1
1,output_activated,0.878,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_start_round_start,0.911,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,1.38,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,lever_extended_lever_2,1.763,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,tone_stop_round_start,1.916,lever_2_out,lever_2_out,,,ID:speaker|,1
