day|2,experiment|magazine,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5113,vole_2|0
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.003,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
1,new_round,0.004,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.006,lever_out,lever_out,,,ID:round_LED|,1
1,tone_start_round_start,0.038,lever_out,lever_out,,,ID:speaker|,1
1,lever_extended_food,0.381,lever_out,lever_out,,,ID:food|,1
1,output_deactivated,0.508,lever_out,lever_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.042,lever_out,lever_out,,,ID:speaker|,1
1,tone_start_pellet_tone,2.053,lever_out_pt2,lever_out_pt2,,,ID:speaker|,1
1,tone_stop_pellet_tone,3.059,lever_out_pt2,lever_out_pt2,,,ID:speaker|,1
1,lever_retracted_food,4.521,lever_out_pt2,ITI,,,ID:food|,1
1,pellet_dispense_failure_dispenser,6.525,ITI,ITI,,,ID:dispenser|,1
